window,model,n,rmse,mae,nse,r
tst_dry,Clim,59,0.1764979548461935,0.14772776021795758,-3.1724426724620223,0.10486648770571538
tst_dry,FNO,59,0.20849097867842228,0.1925156076075667,-4.82217908074259,0.5153388975882179
tst_dry,Linear,59,0.15302730159273342,0.12619245658486578,-2.136525797749878,0.17219221938942958
tst_dry,Pers,59,0.08973126143056996,0.07372882810689635,-0.07844641145857079,0.4815902105440576
tst_wet,Clim,60,1.200006727503834,0.8048025687535604,-0.37632400251950626,0.10053996416805513
tst_wet,FNO,60,1.0849465028494478,0.7613517999649048,-0.12504519926325375,0.35460029784762537
tst_wet,Linear,60,1.3773514631218184,1.090684453646342,-0.8131881481031453,0.3877085341748412
tst_wet,Pers,60,0.8535138933336133,0.6605426708857218,0.3037350842157114,0.6064565641690063
val_dry,Clim,60,0.10433715074525621,0.08775519927342733,-3.3283925770889704,0.06357193025325332
val_dry,FNO,60,0.12952289276433288,0.10458095471064249,-5.6702447365415996,0.030495254453114188
val_dry,Linear,60,0.09599203464638673,0.08232971827189127,-2.6636931474393086,0.34264541706764373
val_dry,Pers,60,0.08185865250675864,0.06866669654846191,-1.6642678292019295,-0.21965755135769122
val_wet,Clim,60,0.942013877147259,0.8142187198003134,-0.5476022478109062,-0.2575125323670536
val_wet,FNO,60,0.8351530796963894,0.6865227858225504,-0.21640143709228732,0.2889897716559044
val_wet,Linear,60,1.5762675313703536,1.2550693114598592,-3.333158851902491,0.25128979673219776
val_wet,Pers,60,1.1381077123031484,0.8903333663940429,-1.2589753051713943,0.08948459648765497
